Sequence_ID,Original_Instance_Type,Noisy_Instance_Type,Original_Instance_ID,Noisy_Instance_ID,Original_Encoded,Noisy_Encoded,Label_Changed,ID_Changed
0,t2.nano,t2.medium,i-t2-nano-520aa90d,i-t2-medium-59140c12,10,8,True,True
1,t2.nano,t2.nano,i-t2-nano-c2272f8d,i-t2-nano-c2272f8d,10,10,False,False
2,t2.nano,t2.nano,i-t2-nano-5168d3c8,i-t2-nano-5168d3c8,10,10,False,False
3,t2.nano,t2.nano,i-t2-nano-4c62c1c7,i-t2-nano-4c62c1c7,10,10,False,False
4,t2.nano,t2.nano,i-t2-nano-235e3bef,i-t2-nano-235e3bef,10,10,False,False
5,t2.nano,t2.nano,i-t2-nano-0a484629,i-t2-nano-0a484629,10,10,False,False
6,t2.nano,t2.nano,i-t2-nano-7dff79f0,i-t2-nano-7dff79f0,10,10,False,False
7,t2.nano,t2.nano,i-t2-nano-5f76d7e7,i-t2-nano-5f76d7e7,10,10,False,False
8,t2.nano,t2.nano,i-t2-nano-3d356fcf,i-t2-nano-3d356fcf,10,10,False,False
9,t2.nano,t2.nano,i-t2-nano-f2c4cef3,i-t2-nano-f2c4cef3,10,10,False,False
10,t2.nano,t2.nano,i-t2-nano-857485fc,i-t2-nano-857485fc,10,10,False,False
11,t2.nano,t2.nano,i-t2-nano-a9f63946,i-t2-nano-a9f63946,10,10,False,False
12,t2.nano,t2.nano,i-t2-nano-2f8bb0a9,i-t2-nano-2f8bb0a9,10,10,False,False
13,t2.nano,t2.medium,i-t2-nano-22ca1ae5,i-t2-medium-cc8f0b0d,10,8,True,True
14,t2.nano,t2.nano,i-t2-nano-dae73e80,i-t2-nano-dae73e80,10,10,False,False
15,t2.nano,t2.nano,i-t2-nano-d4165387,i-t2-nano-d4165387,10,10,False,False
16,t2.nano,t2.nano,i-t2-nano-8938cb65,i-t2-nano-8938cb65,10,10,False,False
17,t2.nano,t2.nano,i-t2-nano-95d87410,i-t2-nano-95d87410,10,10,False,False
18,t2.nano,t2.nano,i-t2-nano-43fea5a8,i-t2-nano-43fea5a8,10,10,False,False
19,t2.nano,t2.nano,i-t2-nano-e55ab3d6,i-t2-nano-e55ab3d6,10,10,False,False
20,t2.nano,t2.nano,i-t2-nano-a3aafdd7,i-t2-nano-a3aafdd7,10,10,False,False
21,t2.nano,t2.nano,i-t2-nano-a60f2bf8,i-t2-nano-a60f2bf8,10,10,False,False
22,t2.nano,t3.micro,i-t2-nano-214b7ace,i-t3-micro-910b5f39,10,12,True,True
23,t2.nano,t2.nano,i-t2-nano-098ad93f,i-t2-nano-098ad93f,10,10,False,False
24,t2.nano,t2.nano,i-t2-nano-3fa71a31,i-t2-nano-3fa71a31,10,10,False,False
25,t2.nano,t2.nano,i-t2-nano-3a36ea63,i-t2-nano-3a36ea63,10,10,False,False
26,t2.nano,t2.nano,i-t2-nano-5382e342,i-t2-nano-5382e342,10,10,False,False
27,t2.nano,t2.nano,i-t2-nano-834d9138,i-t2-nano-834d9138,10,10,False,False
28,t2.nano,m5.large,i-t2-nano-d1f7356a,i-m5-large-b9eabb8d,10,4,True,True
29,t2.nano,t2.nano,i-t2-nano-caeca114,i-t2-nano-caeca114,10,10,False,False
30,t2.nano,t2.nano,i-t2-nano-4e5deb29,i-t2-nano-4e5deb29,10,10,False,False
31,t2.nano,t2.nano,i-t2-nano-e779e5bf,i-t2-nano-e779e5bf,10,10,False,False
32,t2.nano,t2.nano,i-t2-nano-02fa4ff0,i-t2-nano-02fa4ff0,10,10,False,False
33,t2.nano,t2.nano,i-t2-nano-583d0625,i-t2-nano-583d0625,10,10,False,False
34,t2.nano,t2.nano,i-t2-nano-1a7bb880,i-t2-nano-1a7bb880,10,10,False,False
35,t2.nano,t2.nano,i-t2-nano-42ea7c8f,i-t2-nano-42ea7c8f,10,10,False,False
36,t2.nano,t2.nano,i-t2-nano-74879612,i-t2-nano-74879612,10,10,False,False
37,t2.nano,t2.nano,i-t2-nano-85cea881,i-t2-nano-85cea881,10,10,False,False
38,t2.nano,t2.nano,i-t2-nano-a4a16f54,i-t2-nano-a4a16f54,10,10,False,False
39,t2.nano,t2.nano,i-t2-nano-0063a13d,i-t2-nano-0063a13d,10,10,False,False
40,t2.nano,t2.nano,i-t2-nano-77ceca7e,i-t2-nano-77ceca7e,10,10,False,False
41,t2.nano,t2.nano,i-t2-nano-3e9c8d95,i-t2-nano-3e9c8d95,10,10,False,False
42,t2.nano,t2.nano,i-t2-nano-79bff987,i-t2-nano-79bff987,10,10,False,False
43,t2.nano,t2.nano,i-t2-nano-c78a5e4f,i-t2-nano-c78a5e4f,10,10,False,False
44,t2.nano,t2.nano,i-t2-nano-7f4c3086,i-t2-nano-7f4c3086,10,10,False,False
45,t2.nano,t2.nano,i-t2-nano-22c5dc8c,i-t2-nano-22c5dc8c,10,10,False,False
46,t2.nano,t2.medium,i-t2-nano-fc168353,i-t2-medium-8671aba4,10,8,True,True
47,t2.nano,t2.nano,i-t2-nano-c54a042b,i-t2-nano-c54a042b,10,10,False,False
48,t2.nano,t2.nano,i-t2-nano-942f3f42,i-t2-nano-942f3f42,10,10,False,False
49,t2.nano,t2.nano,i-t2-nano-805adbc2,i-t2-nano-805adbc2,10,10,False,False
50,t2.nano,t2.nano,i-t2-nano-33e4f49a,i-t2-nano-33e4f49a,10,10,False,False
51,t2.nano,t2.nano,i-t2-nano-560ff520,i-t2-nano-560ff520,10,10,False,False
52,t2.nano,t2.nano,i-t2-nano-7815d7f5,i-t2-nano-7815d7f5,10,10,False,False
53,t2.nano,t2.nano,i-t2-nano-917361b6,i-t2-nano-917361b6,10,10,False,False
54,t2.nano,t2.nano,i-t2-nano-62b244bb,i-t2-nano-62b244bb,10,10,False,False
55,t2.nano,t2.nano,i-t2-nano-3b7c1c39,i-t2-nano-3b7c1c39,10,10,False,False
56,t2.nano,t2.nano,i-t2-nano-70f68c7c,i-t2-nano-70f68c7c,10,10,False,False
57,t2.nano,t2.nano,i-t2-nano-3df02e7c,i-t2-nano-3df02e7c,10,10,False,False
58,t2.nano,t2.small,i-t2-nano-de1bc5bc,i-t2-small-8008dfbe,10,11,True,True
59,t2.nano,t2.nano,i-t2-nano-6a24d338,i-t2-nano-6a24d338,10,10,False,False
60,t2.nano,t2.nano,i-t2-nano-4d0ae43b,i-t2-nano-4d0ae43b,10,10,False,False
61,t2.nano,r5.xlarge,i-t2-nano-f36041d6,i-r5-xlarge-317de70e,10,7,True,True
62,t2.nano,t2.nano,i-t2-nano-56ffc533,i-t2-nano-56ffc533,10,10,False,False
63,t2.nano,t2.nano,i-t2-nano-d5ceb4e9,i-t2-nano-d5ceb4e9,10,10,False,False
64,t2.nano,t2.nano,i-t2-nano-989c432e,i-t2-nano-989c432e,10,10,False,False
65,t2.nano,t2.nano,i-t2-nano-7b032724,i-t2-nano-7b032724,10,10,False,False
66,t2.nano,t2.nano,i-t2-nano-0001abee,i-t2-nano-0001abee,10,10,False,False
